doc_id,text
student_001,"Since 2005, Youtube has greatly influenced the lifestyle of people in this age as a greater percentage of people are growing up and are surrounded by technology. As a result of a more technology-enhanced lifestyle, it is rare to see a person without a phone or computer which has led to many new pastimes such as watching YouTube videos as a viewer or posting videos on YouTube as a content creator. As a content creator, creating new videos to draw in new subscribers and views is important if you want to keep your channel alive and generate revenue. Thus, our goal in this work is to better understand how channels obtain subscribers and hopefully to provide future content creators information on how to attract new subscribers."
student_002,"In the past years, we have seen a great spike in social media platforms. We have realized the impact of social media through events such as the 2020 Presidential Election. More and more individuals, from toddlers to seniors, are consuming content. With increased demand, there has to be an increase in supply. A specific platform, Youtube, has been key in the way humans receive information. With its incline, it has seen more and more content creators. People take Youtube seriously and even quit their full-time job to become content creators on Youtube. With this in mind, how exactly can creators get popular enough that they can make revenue? Is there a certain genre that appeals to audiences? Over time, are Youtubers seeing a dramatic increase in views? These are some of the questions that can be answered through data."
student_003,"Internet has developed swiftly during the recent decades, and online medias have received more and more recognition. Thus, publishers are getting increasingly curious about improving shares of their articles. Mashable is one of the most popular platforms, as statistics show that the Mashable community is comprised of 25 million social media followers and 45 million monthly unique visitors (as reported on the website https://www.referralcandy.com/blog/mashable-marketing-strategy/). In that case, it would be valuable to understand the issue of share numbers of articles published on Mashable. This work may contribute to those who intend to make their articles more popular."
student_004,"New York City houses roughly 8.5 million people of different ages, backgrounds, and income levels. It is a melting pot of cultures but there is increasingly more worry for the living conditions that people have to endure, especially those in the lower class. There is a clear shortage in available households for citizens, granted that they are expected to spend a considerable amount of income to put a roof over their heads (reported by NYC.gov: https://www1.nyc.gov/site/housing/problem/problem.page). With an increasing amount of money spent on rent, there is a little left to spend on basic needs. Many citizens are desperate to see the next day, which may mean sacrificing health. In particular, nearly half of the city's households are considered poor (explained by the Center of NYC Affairs:http://www.centernyc.org/inequality-poverty). The goal of the study is to gain a deeper understanding of the underlying reasons for poor health conditions in NYC. Relating income level, ethnicity, and borough to self- assessed health may be of help to any person who wants to move into the city by providing a source of information and advice."
student_005,"As the most popular sporting event held every 4 years (as highlighted on Sports News, January 25, 2020: https://www.sportsnewsireland.com/soccer/soccer_world/the-worlds-most-watched-sporting-events/), the World Cup is known for having countries from all over the world compete in a tournament, where one remaining, undefeated, team stands at the end of the competition and is crowned a winner. Each team comprises of players who play different positions and have different purposes, or roles. Our goal is to examine whether the number of minutes a player receives (playtime) is correlated to their position, as well as understand how their playtime influences their performance with respect to the total number of passes they complete."
student_006,"As the world increasingly moves online due to both the progression of technology and, currently, due to the spreading pandemic, more and more people are seeking relationships through online means. OkCupid is one such dating website, and it collects many forms of data about its users. Among many websites and apps, correlations have been made regarding user data to conclude that certain types of people- that is, certain ages, sexes, etc.- are more likely to use one online dating service over another (according to a report by SurveyMonkey: https://www.surveymonkey.com/curiosity/dating-apps-and-sites-are-almost-as-common-as-they-are-disliked/). The existence of these patterns on other dating websites begs the question: does OkCupid have any major correlations in user data between demographics? Our goal in this report is therefore to better explore the user data in search of potential patterns."
student_007,"As technology is rapidly growing, social media platforms are becoming a huge part of an individual’s life. One of the most popular social media platforms visited is YouTube. With our world adapting to a new norm of online life, people all over the world use YouTube as a means of receiving daily news, entertainment, knowledge, listening to music, and many more contents. An important aspect of YouTube is the number of views and subscribers an individual or channel has. This statistical analysis of YouTube categories may be of help to influencers who are looking for a way to impact a larger audience or to those who are looking to successfully create a YouTube account."
student_008,"When insurance companies are determining the premiums, they need to take into consideration of many factors, such as the subscriber's medical history, or age, etc. It is significant that they use these factors to predict the subscriber's medical costs in the future. If they fail to predict the cost and then set the premiums accurately, they may encounter financial difficulties when a low level of premium is matched with a high cost of claims. The aim of our study is to investigate and better understand the relationship between factors like medical history and the total cost of claims of a group of subscribers who were treated for ischemic heart disease. To put it in another way, we would like to know what characteristics can we spot in subscribers that could potentially give rise to a higher total cost of claims, and can these variables also be associated with each other. Our findings could help insurance companies to make better predictions and set adequate premiums in the future. Therefore, insurance companies are more likely to maximize profits and avoid significant losses."
student_009,"According to a study by The Sun, nearly three fourths of children aged between 6 and 17 want to become online video creators. It is also a fact that the largest video streaming platform is YouTube. Founded in 2005, YouTube boasts 2 billion users and 2 billion hours of content consumed on their platform each day. Naturally, it is common for individuals to ponder what it for a YouTube channel to be successful. With this question in mind we will be exploring the lesser known factors surrounding a YouTube channels' success (other than channel specific content or the creator)."
student_010,"Food, water, and shelter are necessary for human survival. However, the idea of shelter is one often neglected in the consideration of social challenges. Housing is a human right, but it also makes up one of the crucial issues facing contemporary society. There is a widening disparity in housing, especially in large cities like New York. As house prices continue to rise the city faces a housing crisis (as presented in the New York Times, June 13, 2021: https://www.nytimes.com/2021/06/13/nyregion/affordable-housing-nyc-mayor.html). People call upon democratically-elected leaders to push forth change, yet affordable and adequate housing is still disappearing, leading to a greater housing imbalance. This form of inequality further has an impact in social mobility since homeownership is a critical step in building generational wealth (as presented in the Washington Post, July 23, 2020: https://www.washingtonpost.com/business/2020/07/23/black-homeownership-gap/). The motivation behind the current work is to facilitate the understanding of causes behind ongoing housing inequality in New York, which aids in the alleviation of and, ultimately, the solution of the housing crisis."
student_011,"Forest Fires are a pervasive and potentially devasting natural disaster than can cause numerous mortalities and extensive financial costs to those whose property is damaged. Therefore, the prediction of fires is an issue of enormous importance, especially with the increasing rates of fires due to the onslaught of Global Warming. Many methods of analysis used to predict the severity of conditions conducive to fires are expensive, especially those having to do with human analysis or imagery (by satellite or infrared). The most efficient methods of fire prediction in terms of timing and price tend to be meteorological. Therefore, we will attempt to determine the level of influence which a few key contributing meteorological factors have on the area that fires burn."
student_012,"The World Cup occurs every four years, which means each player’s statistics are that much more important. The stats of a player for any sport are crucial because that is what differentiates a good player from a bad player. In soccer there are many different positions and each player in that position focuses on different aspects of the game, however, at the end of the day, the team that scores the most goals is the winner. A player is able to showcase their skills when they are in the game longer. In this analysis, we will be focusing on playtime, position played, and shots attempted to better understand how a player can improve their stats."
student_013,"In the current world we live in we constantly are scouring the internet for the slightest bit of interesting content that we can sink our teeth in. For the people who are creating the articles, the more times someone clicks on their article and shares it, the more money the author will make. The goal of this report is to determine what factors cause us to choose an article and share it and what causes us to just pass by. This analysis could be of great help to people who are authors and post articles on the internet because it could allow them to maximize efficiency and gain more shares by focusing on the things that are important to gaining shares."
student_014,"For health insurance companies, an accurate prediction of client's healthcare cost during the claim period is the key to a reasonable premium subscription price. Hence, our goal is to dig out clues for estimation of costs of claims based on medical history provided by the client."
student_015,"With over 2.6 billion active users, Youtube is one of, if not, the most popular video streaming platforms [1]. The rise in popularity of Youtube gives many a new means to make money. Through advertisements, Youtubers can earn around $5 every 1,000 views [2], which can accumulate to a lot of money; for instance, Youtubers with around 1 million subscribers typically earn around $50,000 a month [3], which is almost equal to the average yearly salary in the United States of $54,132 [4]. This lucrative figure shows how crucial viewership is to Youtubers. Our goal is to analyze factors like channel category, location, and age to see if they affect viewership and monetization on Youtube to test its viability as a potential career path for many to earn more money, especially in an era where the Internet is prevalent."
student_016,"Health insurance premiums can be expensive. The total cost of health insurance for subscribers/patients is dependent on different factors in their life. For example, smoking habits and diet, personal information such as age or gender, and the patient's medical history. It is believed that higher-risk patients have higher health insurance premiums due to the additional costs presumably added due to their poorer health conditions and the extra care needed. For people with ischemic (coronary) heart disease, the expenses are drastic. This may include hospital stays, emergency room visits, prescribed drugs, etc. In this study, we are going to try to comprehend the relationship between the Total Cost of Insurance Claims from patients and the reported medical history within the insurance claim period, specifically for subscribers with ischemic (coronary) heart disease."
student_017,"Since its launch in 2005, Youtube has steadily hosted millions of users accessing the platform for long-form video content. Along with the platform's increasing amount of users came the rise of 'Youtubers,' people who dedicate their lives to the production of video content on the site. Youtubers have since been able to generate incomes totaling into the millions of dollars for themselves and have been able to support themselves through ad revenue and sponsored brand content. The job of a Youtuber is highly lucrative and dependent on amassing a loyal and large subscriber base. However, there is no clear-cut methodology to gaining subscribers and youtuber hopefuls are eager to crack the code. The goal of our work is to examine patterns related to subscriber count of popular Youtube channels, and identify any patterns and relationships that might shed light on how Youtubers are able to gain such large amounts of subscribers."
student_018,"Cardiovascular disease is currently the top cause of death globally (as reported for instance in World Health Organization https://www.who.int/en/news-room/fact-sheets/detail/cardiovascular-diseases-(cvds)) and is an ongoing area of concern in the medical field. To reduce the out-of-pocket expenditure of such a chronic disease, patients usually choose health insurance premiums. Health insurance companies plan their premiums according to the prediction of subscriber’s potential medical costs in the future. To better plan the premiums based on the patient’s condition, it is essential to thoroughly analyze what are the characteristics associated with higher medical claims with existing data. Thus, our goal in the current work is to better understand the total cost of claims by subscribers of heart disease during the claim period. This work can be a useful reference for health insurance companies and subscribers for the future design of their premiums."
student_019,"Health insurance premiums are decided by insurance companies through predictions about a subscriber’s potential medical costs in the future. These predictions are based on the subscriber’s age, medical history, and lifestyle habits. Hospital stays or visits for ischemic (coronary) heart disease—which is the leading cause of death for both men and women in the United States (as reported by the Centers for Disease Control and Prevention, Sept. 8, 2020: https://www.cdc.gov/heartdisease/facts.htm)—are costly and associated with complications and emergency room visits, etc. Our goal is to better understand the relationship between the medical history of those with ischemic heart disease and total cost of claims they made to their insurance company. This will allow patients with the condition to understand how their premiums will change."
student_020,"Natural disasters have always been a major issue, endangering both humanity and nature. In particular, forest fires bring with them a variety of grave problems. They cause devastating damage to ecosystems, destroying wildlife habitats. Forest fires can also be dangerous to humans, as Portugal reported 39 human deaths from the wildfires of 2003 and 2005. Forest fires also damage the environment, releasing massive amounts of carbon dioxide as well as emissions that are harmful to humans. They even cause major economical damage, due to the property damage and lack of tourism (as reported in 2021 Investopedia report https://www.investopedia.com/how-fire-season-affects-the-economy-5194059). All of these factors emphasize the importance of research on forest fires, specifically what causes them. Our work may help to both prevent and provide quicker responses to forest fires, saving both human life and the environment."
student_021,YouTube is always trying to find out how to maximize their profit through advertisements on videos. Understanding which user demographics to appeal to and where to put ads for them is essential for keeping viewers happy and making money. YouTube conducts research on who is watching what and from where.
student_022,"Diamond, as one of the most expensive consumer goods and collector's items in the human world, has many consumers' favor. And therefore, the pricing of diamonds is a matter of concern for many consumers. Often the slightest difference in a diamond can lead to a large price fluctuation. The goal of our work is to better understand the rules of the diamond pricing market. This work will help consumers understand the psychological value of different grades of diamonds and create a healthier, more reasonable diamond market."
student_023,"The residential environment, as a crucial factor in people's daily life, serves as a powerful indicator of the happiness of citizens. In recent years, as the overall technological and economic strengths of the U.S. developed rapidly, it seems to imply the increased living conditions of citizens. However, in Jacob Riis's 'How the Other Half Lives' (https://mymodernmet.com/jacob-riis-how-the-other-half-lives/), it shows that in New York, the demand for buildings is always so high that even if the environment is poor there'll still be people willing to pay for it. Our work will focus on different factors that are related to the life of New York residents. This study may help people in other cities who want to move to NYC to have a better understanding of the lifestyle in NYC and make the decision."
student_024,"Youtube is a platform that allowed a hobby of taking videos to become a career. People who are invested in this path are called 'creators' because the range of what individual channel does is truly diverse: some are made for educational purposes and others more for pure entertainment or somewhere in between. The increase in upcoming generation's inclination to become a creator compared to more traditional careers is also quite noticeable. In order monetize their channels, creators first need to have at least 1,000 subscribers. [1] Therefore, it is crucial to ask the question of how to become a successful creator with many subscribers. Our goal in this current work is to identify and better understand which factors affect the amount of subscribers to determine a successful path for rising creators."
student_025,"While internet communities and forums allow for the fast exchange of ideas and information, it also provides a free space for posting disturbing, inappropriate content. Multiple reasons are behind this phenomenon. Albeit the effort to discourage anonymity in some of the major only forums, such as Facebook, users can still remain anonymous as they wish. This anonymity allows users to post disturbing content at low or even no cost, and encourages users psychologically to take a more extreme position and make hateful comments in the process of deindividualization. Secondly, the internet is the most effective medium to spread information, as any images can be freely uploaded and viewed by thousands of other users in an internet community. The spread of the inappropriate content may have grave outcomes. It may disturb the viewers and cause discomfort. More importantly, it may frustrate some users and lead to unhealthy online arguments. Therefore, an investigation into the profiles of users who tend to create inappropriate content and the category in which inappropriate content most frequently occurs is needed. A measure of whether moderator shut down is a good strategy is also warranted."
